Designator,Mid X,Mid Y,Rotation,Layer
C1,137.8,-99.6,0.0,top
C10,136.45,-85.2375,270.0,top
C11,139.4,-84.52,270.0,top
C12,142.4,-84.52,270.0,top
C13,129.0,-100.0,180.0,top
C14,125.6,-100.8,180.0,top
C15,129.0,-103.4,180.0,top
C16,129.0,-104.6,180.0,top
C17,133.6,-100.4,0.0,top
C18,130.0,-106.6,180.0,top
C19,121.8,-100.0,0.0,top
C2,134.45,-85.2375,270.0,top
C3,122.4,-85.0,0.0,top
C4,117.4,-83.6,0.0,top
C5,117.4,-85.0,0.0,top
C6,138.0,-84.52,270.0,top
C7,119.6,-85.0,0.0,top
C8,126.45,-85.0375,90.0,top
C9,141.0,-84.52,270.0,top
D1,136.6,-104.2,270.0,top
D2,117.6,-96.09,90.0,top
D3,118.2,-102.6,90.0,top
D4,114.8,-102.6,90.0,top
D5,143.6,-100.8,0.0,top
D6,143.6,-104.0,0.0,top
FB1,135.515,-82.0,0.0,top
J1,109.84,-91.8,270.0,top
J2,123.0,-77.125,0.0,top
J3,128.2,-77.125,0.0,top
J4,141.8,-91.99,180.0,top
J5,149.6,-91.67,180.0,top
J6,113.21,-78.53,0.0,top
J7,117.8,-78.53,0.0,top
J8,149.6,-105.47,0.0,top
JP1,135.27,-77.2,270.0,top
L1,133.4,-104.2,90.0,top
R1,137.69,-101.4,180.0,top
R10,119.8,-96.29,90.0,top
R11,133.0,-107.2,0.0,top
R2,132.65,-85.3525,270.0,top
R3,131.25,-85.4625,270.0,top
R4,123.22,-86.4,180.0,top
R7,128.65,-85.0375,270.0,top
R8,129.0,-102.0,0.0,top
R9,125.6,-99.2,180.0,top
U1,117.96,-88.96,0.0,top
U2,123.8,-104.6,270.0,top
U3,133.45,-92.8375,90.0,top
